id,funcionarioId,ferramentaId,status,dataConcessao,concedidoPor
ac0001,u001,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0002,u001,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0003,u001,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0004,u001,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0005,u002,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0006,u002,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0007,u002,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0008,u002,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0009,u003,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0010,u003,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0011,u003,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0012,u003,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0013,u004,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0014,u004,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0015,u004,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0016,u004,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0017,u005,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0018,u005,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0019,u005,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0020,u005,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0021,u006,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0022,u006,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0023,u006,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0024,u006,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0025,u007,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0026,u007,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0027,u007,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0028,u007,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0029,u008,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0030,u008,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0031,u008,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0032,u008,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0033,u009,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0034,u009,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0035,u009,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0036,u009,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0037,u010,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0038,u010,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0039,u010,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0040,u010,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0041,u011,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0042,u011,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0043,u011,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0044,u011,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0045,u012,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0046,u012,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0047,u012,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0048,u012,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0049,u013,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0050,u013,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0051,u013,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0052,u013,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0053,u014,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0054,u014,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0055,u014,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
